song_id,danceability,energy,key,loudness,mode,explicit,speechiness,acousticness,instrumentalness,liveness,valence,tempo
38o61Ds0yH3Znyyl7H1mhL,0.61,0.729,9.0,-8.561,0.0,0.0,0.139,0.00941,0.000125,0.351,0.619,135.971
1uPRxSXcPHtkXY7HkdqQCR,0.317,0.815,6.0,-5.867,0.0,0.0,0.0551,0.0319,1.46e-06,0.439,0.479,154.021
0qnzHn8plo9r10x69uFJYS,0.406,0.778,2.0,-5.383,1.0,0.0,0.114,0.00154,0.000287,0.0565,0.692,106.933
5PwWIKBztoHDVAVcL3IH2X,0.654,0.773,2.0,-9.689,1.0,0.0,0.0371,0.0574,0.00125,0.316,0.904,114.857
7Ar4G7Ci11gpt6sfH9Cgz5,0.645,0.598,1.0,-13.18,0.0,0.0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929
34BTa47YvwMjJBJcU2RsgG,0.525,0.94,7.0,-2.898,1.0,0.0,0.0442,0.0124,0.0,0.1,0.673,117.661
6g1B0hd6rlT3xP3mERUnz8,0.708,0.553,5.0,-6.319,0.0,0.0,0.0262,0.0335,0.0,0.101,0.589,94.977
26uVYNtKahTAcZMDWiuBnt,0.215,0.24,10.0,-12.597,1.0,0.0,0.0407,0.842,5.9e-06,0.135,0.0892,128.729
61kCHK0FWCBshWkvsMOt7c,0.589,0.346,1.0,-13.009,1.0,0.0,0.032,0.269,0.0171,0.113,0.119,112.408
2xYQTU2bbg6WVAmpY1eae4,0.524,0.261,2.0,-13.868,1.0,0.0,0.0272,0.755,0.00105,0.144,0.201,73.36
6GUN9ZD4wr0cim6y2SrGJe,0.664,0.496,5.0,-4.684,0.0,0.0,0.0298,0.438,0.0,0.121,0.528,117.976
3kcaix8VptngsWoYDTqEN2,0.328,0.83,7.0,-9.831,1.0,0.0,0.0372,2.7e-05,0.491,0.315,0.636,85.725
6hIroseB9TaxU9a5lhO4sD,0.267,0.957,8.0,-7.754,0.0,0.0,0.0812,0.00165,0.408,0.0897,0.141,104.683
6RAyxEP4b5HqGBApibuYIr,0.373,0.438,0.0,-9.214,1.0,1.0,0.0297,0.563,0.000105,0.355,0.411,139.334
5RrWu7ddslbnrRImeW7LOs,0.728,0.612,7.0,-10.106,1.0,0.0,0.0499,0.0941,0.188,0.399,0.437,130.016
7h4RYW8kws9GFeyxFaf0En,0.857,0.45,4.0,-9.916,0.0,0.0,0.0368,0.652,8.66e-05,0.117,0.74,114.991
65jrjEhWfAvysKfnojk1i0,0.747,0.226,7.0,-13.635,1.0,0.0,0.0415,0.908,0.000168,0.107,0.778,123.789
6WapNs3VmZgal4RkDv62iF,0.192,0.203,9.0,-11.729,1.0,0.0,0.0288,0.651,0.000838,0.0812,0.128,171.026
39ZAON2MIRhHrS8chedbOU,0.556,0.615,1.0,-6.794,1.0,0.0,0.029,0.0249,0.0,0.127,0.6,83.477
6vjvewW34Y3UiGQtJokGlY,0.286,0.982,0.0,-3.828,0.0,0.0,0.131,3.39e-05,0.00675,0.309,0.118,110.629
3bJvySBYh3luUY8B2SsYAO,0.499,0.446,10.0,-7.259,1.0,0.0,0.192,0.483,0.0,0.395,0.616,101.753
0jHt88E5zeabxoTM3c0W1t,0.481,0.833,11.0,-5.619,0.0,0.0,0.079,0.000498,0.000857,0.265,0.265,120.079
560efWyxFfBuWgNwGb6gye,0.606,0.789,4.0,-6.806,0.0,0.0,0.052,0.0132,1.3e-06,0.129,0.624,101.262
4pMyfWdA0eo3JY5RqMotbw,0.543,0.871,8.0,-12.565,1.0,0.0,0.0536,0.00441,1.2e-06,0.0699,0.784,154.528
2EsBCpGIwi0GqhaFmNOPIS,0.78,0.657,5.0,-5.237,0.0,0.0,0.124,0.0142,0.0335,0.102,0.788,94.688
3YrpRrxV7PF3c5p3iK3hoB,0.538,0.541,6.0,-7.308,1.0,0.0,0.042,0.268,0.0,0.14,0.271,119.279
0OAfv038kxh9xLGjJ7fRLi,0.627,0.641,4.0,-10.283,0.0,0.0,0.0299,0.216,0.0,0.383,0.712,96.308
1CNj54KmvgzHzDy7QGzrRt,0.334,0.439,10.0,-7.36,1.0,0.0,0.0338,0.258,0.0,0.152,0.243,121.71
3I7gJOfTamHWpDfbwQUO6T,0.33,0.885,11.0,-6.842,0.0,0.0,0.279,0.0688,0.125,0.683,0.156,142.11
6FzG4GyaNYco0IFAsZBigr,0.703,0.624,6.0,-6.818,1.0,0.0,0.0681,0.235,0.0,0.464,0.556,149.892
5vollujufHY0jMZxx77VWr,0.539,0.702,6.0,-7.291,1.0,0.0,0.0436,0.00245,2.37e-05,0.117,0.206,118.106
51PJtx4tPXckVFqmWrwcsU,0.54,0.478,5.0,-11.366,1.0,0.0,0.0272,0.585,1.96e-06,0.0804,0.799,127.309
3iltRlox3jEeSKuqdW88EK,0.622,0.239,5.0,-18.982,0.0,0.0,0.0447,0.859,0.051,0.109,0.737,79.674
2PZhHYtlfVED3oU4qcTejV,0.253,0.963,0.0,-4.49,1.0,1.0,0.12,0.00345,0.0859,0.824,0.102,91.929
4TSnXIBL47e8N5PXhivcHv,0.595,0.54,7.0,-10.34,1.0,0.0,0.026,0.529,0.0464,0.129,0.465,97.023
3gdnzK3ssHh4Z5onIxhGQG,0.444,0.818,5.0,-5.318,0.0,0.0,0.0477,0.0114,1.41e-05,0.127,0.233,145.972
2Wv0Tblv8PjQWMyaDdZAkE,0.839,0.565,9.0,-12.149,1.0,0.0,0.125,0.149,0.000164,0.0825,0.832,112.788
4WFYHBYhFA6tmCRYKng2MB,0.476,0.994,10.0,-3.19,0.0,0.0,0.175,0.000247,0.152,0.0793,0.126,92.865
4RG9Ulx2XrTg2achBTPaoo,0.572,0.857,4.0,-9.845,0.0,0.0,0.037,0.00341,0.0146,0.155,0.671,133.893
2Lh9yoNmBDJmnMjrJBy2gI,0.511,0.308,11.0,-12.55,1.0,0.0,0.0256,0.857,0.0249,0.112,0.263,78.866
2fgbsGWU2Dum08uifQHhiB,0.575,0.487,2.0,-10.664,1.0,0.0,0.0553,0.49,0.0,0.0913,0.505,92.39
